Team,Team Short Name,Team Name
Chennai Super Kings,CSK,Chennai Super Kings
Deccan Chargers,SRH,"Deccan Chargers(2008-2012),Sunrisers Hyderabad"
Delhi Capitals,DC,"Delhi Daredevils(2008-2018), Delhi Capitals"
Delhi Daredevils,DC,"Delhi Daredevils(2008-2018), Delhi Capitals"
Gujarat Lions,GL,Gujarat Lions(2016-2017)
Kings XI Punjab,KXIP,Kings XI Punjab
Kochi Tuskers Kerala,KTK,Kochi Tuskers Kerala(2011)
Kolkata Knight Riders,KKR,Kolkata Knight Riders
Mumbai Indians,MI,Mumbai Indians
NA,NA,NA
Pune Warriors,PWI,Pune Warriors India(2011-2013)
Rajasthan Royals,RR,Rajasthan Royals
Rising Pune Supergiant,RPS,Rising Pune Supergiant(2016-2017)
Rising Pune Supergiants,RPS,Rising Pune Supergiant(2016-2017)
Royal Challengers Bangalore,RCB,Royal Challengers Bangalore
Sunrisers Hyderabad,SRH,"Deccan Chargers(2008-2012),Sunrisers Hyderabad"
